uuid,name,title,description,url,category,status,created_at
f6d6cf5c-33d6-4a6f-92bb-4fb1c1525b18,apify-actors-mcp-server,apify/actors-mcp-server,"액터라고 알려진 3,000개 이상의 사전 구축된 클라우드 도구를 사용하여 웹사이트, 전자 상거래, 소셜 미디어, 검색 엔진, 지도 등에서 데이터 추출",https://github.com/apify/actors-mcp-server,other_tools_and_integrations,active,NOW()
3f5c90a6-be78-4db7-b3aa-0001488640a4,ivo-toby-contentful-mcp,ivo-toby/contentful-mcp,"Contentful Space에서 콘텐츠, 콘텐츠 모델 및 에셋 업데이트, 생성, 삭제",https://github.com/ivo-toby/contentful-mcp,other_tools_and_integrations,active,NOW()
fa8a10f5-7a65-4140-bfe8-706f7a712289,mzxrai-mcp-openai,mzxrai/mcp-openai,OpenAI의 가장 똑똑한 모델과 채팅,https://github.com/mzxrai/mcp-openai,other_tools_and_integrations,active,NOW()
5544dff2-b8c1-41a1-a0d5-a143562c6501,mrjoshuak-godoc-mcp,mrjoshuak/godoc-mcp,전체 소스 파일을 읽지 않고 AI 어시스턴트에게 패키지 문서 및 유형에 대한 스마트한 접근을 제공하는 토큰 효율적인 Go 문서 서버,https://github.com/mrjoshuak/godoc-mcp,other_tools_and_integrations,active,NOW()
0161243d-5366-4b52-a1be-143a676ca0d3,pierrebrunelle-mcp-server-openai,pierrebrunelle/mcp-server-openai,MCP 프로토콜을 사용하여 Claude에서 직접 OpenAI 모델 쿼리,https://github.com/pierrebrunelle/mcp-server-openai,other_tools_and_integrations,active,NOW()
7c3e01c7-5501-4c64-ab93-c49e8fb918b8,modelcontextprotocol-server-everything,@modelcontextprotocol/server-everything,MCP 프로토콜의 모든 기능을 실행하는 MCP 서버,https://github.com/modelcontextprotocol/servers/tree/main/src/everything,other_tools_and_integrations,active,NOW()
78a73d23-c2cc-4899-a475-0840076841dd,baba786-phabricator-mcp-server,baba786/phabricator-mcp-server,Phabricator API와 상호 작용,https://github.com/baba786/phabricator-mcp-server,other_tools_and_integrations,active,NOW()
444cc1d5-d3f3-4377-83a9-de9ed875db58,MarkusPfundstein-mcp-obsidian,MarkusPfundstein/mcp-obsidian,REST API를 통해 Obsidian과 상호 작용,https://github.com/MarkusPfundstein/mcp-obsidian,other_tools_and_integrations,active,NOW()
b452de5f-4e53-4352-9ed8-743c0eb28a5e,calclavia-mcp-obsidian,calclavia/mcp-obsidian,Claude 데스크톱(또는 모든 MCP 클라이언트)이 마크다운 노트(예: Obsidian 보관소)를 포함하는 모든 디렉토리를 읽고 검색할 수 있도록 하는 커넥터입니다.,https://github.com/calclavia/mcp-obsidian,other_tools_and_integrations,active,NOW()
30c6aa93-9014-4c61-a1cb-d73a4771a863,anaisbetts-mcp-youtube,anaisbetts/mcp-youtube,YouTube 자막 가져오기,https://github.com/anaisbetts/mcp-youtube,other_tools_and_integrations,active,NOW()
